,Unnamed: 0_x,teh_mesto,Название технического места,level_upper,code,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,Unnamed: 0_y,ЗаводРасплТехОб,Ед. оборудов.,Описание,ГрупПлановик,Поле сортировки,Описание.1,МВЗ,Тип ЕО,ДатаВводЭкспл,СПП-элемент,Завод
25,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43574,1105,100000043397,Генератор собственных нужд,200.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
26,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43575,1105,100000043593,ЭД асинх,200.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
27,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43576,1105,100000043617,ЭД асинх,200.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
28,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43577,1105,100000043641,ЭД асинх,200.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
29,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43578,1105,100000043663,ЭД асинх,200.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
30,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43579,1105,100000043720,Стенка,100.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
31,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43580,1105,100000043749,Челюсть,100.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
32,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43581,1105,100000063333,Экскаватор электрический ЭКГ-10 №28,100.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
33,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61833,1105,100000043422,Редуктор лебедки напора,100.0,28,Экскаватор электрический №28,1112011420.0,O,2009-11-30,,
34,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61834,1105,100000043446,Редуктор лебедки подъема,100.0,28,Экскаватор электрический №28,1112011420.0,O,2009-11-30,,
